scenario,replication,method,success,converged,diagnostic,error,subgroup_difference_truth,subgroup_difference_estimate,subgroup_difference_standard_error,subgroup_difference_lower,subgroup_difference_upper,subgroup_difference_error,subgroup_difference_covered,cate_mse
constant_risk_difference,10,classical_interaction,True,True,,,-1.1102230246251565e-16,0.09337475631043302,0.13305885860335337,-0.16742060655213958,0.3541701191730056,0.09337475631043313,True,0.008943518701898584
constant_risk_difference,10,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=187, divergences=0",,-1.1102230246251565e-16,0.010711442928845504,0.04337481735076975,-0.0763552710705852,0.1048202792922043,0.010711442928845615,True,0.002920082132536704
constant_risk_difference,10,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.02940679261892898,0.08791522056945644,-0.14290703969720564,0.2017206249350636,0.02940679261892909,True,0.0016086057826652774
constant_risk_difference,11,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.01900987416144062,0.13604894177267343,-0.28566580003588055,0.2476460517129993,-0.01900987416144051,True,0.004475089822153539
constant_risk_difference,11,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=278, divergences=0",,-1.1102230246251565e-16,0.00643965854072818,0.034095139457220536,-0.06558392971983557,0.07593453557063236,0.006439658540728291,True,0.001443716602587279
constant_risk_difference,11,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.005798291100059361,0.0899649388972332,-0.1705329891385177,0.18212957133863641,0.005798291100059472,True,0.0025705931066657855
constant_risk_difference,12,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.10596538553638646,0.17144276541330122,-0.44199320574645684,0.23006243467368392,-0.10596538553638635,True,0.006563807577380514
constant_risk_difference,12,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=284, divergences=0",,-1.1102230246251565e-16,-0.01283313042732518,0.05051388760708909,-0.12551504897162383,0.07926633266874132,-0.01283313042732507,True,0.005376676070312666
constant_risk_difference,12,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.018323093918371947,0.09065104225455888,-0.19599913673730734,0.15935294890056345,-0.018323093918371836,True,0.0016952674550334784
constant_risk_difference,13,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.1222282823536891,0.172258979022181,-0.45985588123716387,0.21539931652978567,-0.12222828235368899,True,0.008925855887401217
constant_risk_difference,13,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=361, divergences=0",,-1.1102230246251565e-16,-0.005309443618469305,0.03878360506357075,-0.101192229909885,0.06055487722246848,-0.005309443618469194,True,0.0008797147071202047
constant_risk_difference,13,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.04086944451446439,0.08661919872752581,-0.210643074020415,0.1289041849914862,-0.04086944451446428,True,0.0012889180333062935
constant_risk_difference,14,classical_interaction,True,True,,,-1.1102230246251565e-16,0.18096679100199342,0.12363243279846786,-0.06135277728300359,0.42328635928699043,0.18096679100199353,True,0.010440611659312359
constant_risk_difference,14,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=289, divergences=0",,-1.1102230246251565e-16,0.02260977121062136,0.05064935498765807,-0.0803651373423949,0.13083369427745561,0.022609771210621472,True,0.00270233102983567
constant_risk_difference,14,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.0042385282794684676,0.07815374391158302,-0.14894280978723423,0.15741986634617117,0.004238528279468579,True,0.0013729425250573618
constant_risk_difference,15,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.11913360276424495,0.1405080388502639,-0.3945293589107622,0.15626215338227228,-0.11913360276424484,True,0.005017800143811511
constant_risk_difference,15,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=250, divergences=0",,-1.1102230246251565e-16,0.006152952832692239,0.03861020434084278,-0.07532799898642227,0.07508876784080087,0.00615295283269235,True,0.005015430919578631
constant_risk_difference,15,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.033494701506526114,0.0818197739144953,-0.1938614583789369,0.12687205536588467,-0.033494701506526,True,0.0037900433696480204
constant_risk_difference,16,classical_interaction,True,True,,,-1.1102230246251565e-16,0.05477738559236639,0.12581831548402522,-0.19182651275632304,0.3013812839410558,0.0547773855923665,True,0.015035972482128452
constant_risk_difference,16,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.020, minimum bulk ESS=172, divergences=0",,-1.1102230246251565e-16,0.019116398926845826,0.03993173776232265,-0.06977664526622256,0.10182945131955407,0.019116398926845937,True,0.006502839540499926
constant_risk_difference,16,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.0026604076903153917,0.0849849207144431,-0.16391003690999306,0.16923085229062385,0.0026604076903155027,True,0.00760879759627988
constant_risk_difference,17,classical_interaction,True,True,,,-1.1102230246251565e-16,0.15466963618976604,0.1219684495874666,-0.08438852500166849,0.39372779738120056,0.15466963618976615,True,0.005460027905631509
constant_risk_difference,17,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=299, divergences=0",,-1.1102230246251565e-16,0.036855118611725766,0.06289013387703007,-0.09904446474435649,0.15575609943425991,0.03685511861172588,True,0.008232167297330851
constant_risk_difference,17,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.009578687848735612,0.09132418686200378,-0.16941671840079178,0.188574094098263,0.009578687848735723,True,0.001846577136567447
constant_risk_difference,18,classical_interaction,True,True,,,-1.1102230246251565e-16,0.11310464523894193,0.11752561705927829,-0.11724556419724352,0.3434548546751274,0.11310464523894204,True,0.003155013941338425
constant_risk_difference,18,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=272, divergences=0",,-1.1102230246251565e-16,0.0038787209510481356,0.03916635268791852,-0.08729949050542024,0.07709927397946266,0.0038787209510482467,True,0.0005887444941225861
constant_risk_difference,18,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.01334277470354317,0.08164102225038829,-0.14667362890721786,0.1733591783143042,0.013342774703543281,True,0.0010003602213813233
constant_risk_difference,19,classical_interaction,True,True,,,-1.1102230246251565e-16,0.10313345355950276,0.1441502611365428,-0.17940105826812114,0.38566796538712667,0.10313345355950287,True,0.0035682057344419136
constant_risk_difference,19,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=365, divergences=0",,-1.1102230246251565e-16,0.0042234246236834356,0.03312589504051242,-0.06745193817296445,0.07085780863726679,0.004223424623683547,True,0.0035530066226303384
