scenario,replication,method,success,converged,diagnostic,error,subgroup_difference_truth,subgroup_difference_estimate,subgroup_difference_standard_error,subgroup_difference_lower,subgroup_difference_upper,subgroup_difference_error,subgroup_difference_covered,cate_mse,prior_label,mean_prior_sd,heterogeneity_prior_scale
no_hte,4,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=423, divergences=0",,-1.1102230246251565e-16,-0.003672497635205029,0.037010378860044574,-0.08365259162416729,0.07235043176523033,-0.003672497635204918,True,0.0005476316580552775,Primary,2.0,1.0
no_hte,4,bayesian_hierarchical,True,True,"mean prior SD=5, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=383, divergences=0",,-1.1102230246251565e-16,-0.0006497768175407133,0.032572661261043086,-0.07739434654003009,0.06780796503907395,-0.0006497768175406023,True,0.00044091857062320217,Mean-prior SD 5,5.0,1.0
no_hte,4,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=0.5, max R-hat=1.020, minimum bulk ESS=353, divergences=0",,-1.1102230246251565e-16,-5.470527716152529e-06,0.02986021917890287,-0.0654541014710043,0.06402534096054162,-5.470527716041507e-06,True,0.0003354240782659219,Heterogeneity-prior scale 0.5,2.0,0.5
no_hte,4,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=2, max R-hat=1.010, minimum bulk ESS=357, divergences=0",,-1.1102230246251565e-16,-0.0019583774149232944,0.03969847342564446,-0.09167419083808395,0.07526270202843176,-0.0019583774149231833,True,0.0005299973941146061,Heterogeneity-prior scale 2,2.0,2.0
no_hte,5,bayesian_hierarchical,True,True,"mean prior SD=1, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=305, divergences=0",,-1.1102230246251565e-16,0.004405052335206712,0.05197779178643502,-0.10445966538730114,0.10335742996582965,0.004405052335206823,True,0.004127427535264164,Mean-prior SD 1,1.0,1.0
no_hte,5,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=256, divergences=0",,-1.1102230246251565e-16,0.002835254306312064,0.054926466783177225,-0.11457739041690036,0.10455116980335433,0.002835254306312175,True,0.004023522229789431,Primary,2.0,1.0
no_hte,5,bayesian_hierarchical,True,True,"mean prior SD=5, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=261, divergences=0",,-1.1102230246251565e-16,0.007177748902566367,0.052458545248949745,-0.10096903734963357,0.11025149574472817,0.0071777489025664784,True,0.0037413060333218863,Mean-prior SD 5,5.0,1.0
no_hte,5,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=0.5, max R-hat=1.010, minimum bulk ESS=241, divergences=0",,-1.1102230246251565e-16,0.005639874083744177,0.0449845906883849,-0.08586655710322633,0.09330452863675656,0.005639874083744288,True,0.0028982021631307315,Heterogeneity-prior scale 0.5,2.0,0.5
no_hte,5,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=2, max R-hat=1.010, minimum bulk ESS=199, divergences=0",,-1.1102230246251565e-16,0.006772095636152411,0.05056460767043675,-0.09686293644658057,0.10619345204354382,0.006772095636152522,True,0.004140628676210476,Heterogeneity-prior scale 2,2.0,2.0
no_hte,6,bayesian_hierarchical,True,True,"mean prior SD=1, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=344, divergences=0",,-1.1102230246251565e-16,0.021049795953115073,0.047330885654173954,-0.0704411042776268,0.12348186138907852,0.021049795953115184,True,0.002611207929873012,Mean-prior SD 1,1.0,1.0
