scenario,replication,method,success,converged,diagnostic,error,subgroup_difference_truth,subgroup_difference_estimate,subgroup_difference_standard_error,subgroup_difference_lower,subgroup_difference_upper,subgroup_difference_error,subgroup_difference_covered,cate_mse,candidate_id,min_samples_leaf,max_samples,max_depth,fit_seed,runtime_seconds
no_hte,1,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.0670558627013923,0.162562550733259,-0.3856784621385799,0.2515667367357953,-0.06705586270139219,True,0.019020634610841733,cf_01,5,0.45,,2594505444,0.6111762080035987
no_hte,1,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.05291925849693602,0.13665492307061614,-0.32076290771534366,0.21492439072147163,-0.052919258496935906,True,0.010669111444715221,cf_02,5,0.45,5.0,2594505444,0.524974125000881
no_hte,1,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.06546273027643534,0.15981356180605127,-0.3786973114162958,0.24777185086342512,-0.06546273027643523,True,0.018890531359386464,cf_03,5,0.5,,2594505444,0.6768147499969928
no_hte,1,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.04364700644810254,0.13637607581729808,-0.31094411505000674,0.22365010215380166,-0.04364700644810243,True,0.009904871147773725,cf_04,5,0.5,5.0,2594505444,0.6228719169957913
no_hte,1,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.0661864659066439,0.14417646232189704,-0.3487723320575621,0.2163994002442743,-0.06618646590664379,True,0.013689854885710557,cf_05,10,0.45,,2594505444,0.6306095830004779
no_hte,1,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.05692259307263664,0.13416561242029826,-0.31988719341642124,0.20604200727114796,-0.05692259307263653,True,0.009934380612614944,cf_06,10,0.45,5.0,2594505444,0.5710755410036654
no_hte,1,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.06522713772230015,0.1463773598548071,-0.35212676303772206,0.22167248759312175,-0.06522713772230004,True,0.013647818754725791,cf_07,10,0.5,,2594505444,0.5787049159989692
no_hte,1,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.04461668848835748,0.13358215490500588,-0.306437712102169,0.21720433512545406,-0.04461668848835737,True,0.009192014009343776,cf_08,10,0.5,5.0,2594505444,0.605471208000381
no_hte,1,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.05080925180628332,0.12063835888824771,-0.28726043522724887,0.1856419316146822,-0.05080925180628321,True,0.008521447155831531,cf_09,20,0.45,,2594505444,0.5723417499975767
no_hte,1,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.048360673094659024,0.1198112019398881,-0.2831906288968397,0.18646928270752167,-0.04836067309465891,True,0.007819055527731168,cf_10,20,0.45,5.0,2594505444,0.5944737500030897
