attempted_replications,usable_replications,failure_rate,nonconvergence_rate,subgroup_difference_truth,subgroup_difference_bias,subgroup_difference_rmse,subgroup_difference_coverage,subgroup_difference_coverage_mcse,cate_rmse,scenario,prior_scale,scenario_label
10,10,0.0,0.0,-1.1102230246251563e-16,0.00089282468844463,0.007774194427533661,1.0,0.0,0.03557233881521062,constant_risk_difference,0.5,Constant effect
10,10,0.0,0.0,-1.1102230246251563e-16,-0.0010938760989415096,0.010272043859345274,1.0,0.0,0.03873472453388471,constant_risk_difference,1.0,Constant effect
10,10,0.0,0.0,-1.1102230246251563e-16,-0.0015764374979087802,0.010513002980674764,1.0,0.0,0.03990226238518726,constant_risk_difference,2.0,Constant effect
10,10,0.0,0.0,-0.2048926551026362,0.16549024737912396,0.1685766776577116,0.1,0.09486832980505139,0.0642322012608275,simple_age_subgroup,0.5,Age subgroup
10,10,0.0,0.0,-0.2048926551026362,0.15972674203136417,0.16412115549340975,0.1,0.09486832980505139,0.06627802766177461,simple_age_subgroup,1.0,Age subgroup
10,9,0.0,0.1,-0.2048926551026362,0.15372062731723984,0.15907199428241864,0.2222222222222222,0.13857990321384966,0.06860347836698816,simple_age_subgroup,2.0,Age subgroup
10,10,0.0,0.0,-0.1766478682072401,0.14703539741645982,0.1514476897729626,0.2,0.1264911064067352,0.0728055240592066,published_heterogeneity,0.5,Published additive
10,9,0.0,0.1,-0.1766478682072401,0.13578793396486044,0.1420005097565314,0.2222222222222222,0.13857990321384966,0.07295320794602486,published_heterogeneity,1.0,Published additive
10,10,0.0,0.0,-0.1766478682072401,0.13952120466733176,0.14625239454122038,0.3,0.14491376746189438,0.07543207651271606,published_heterogeneity,2.0,Published additive
10,10,0.0,0.0,-0.2246543430589587,0.21669712342938796,0.21687867143767936,0.0,0.0,0.06551475040184554,age_bmi_interaction,0.5,Age and BMI interaction
10,10,0.0,0.0,-0.2246543430589587,0.21526403142214018,0.2155235801393867,0.0,0.0,0.06751911761037929,age_bmi_interaction,1.0,Age and BMI interaction
10,10,0.0,0.0,-0.2246543430589587,0.2154613171272733,0.21576094399285475,0.0,0.0,0.06787791004975455,age_bmi_interaction,2.0,Age and BMI interaction
10,10,0.0,0.0,0.0857914626227708,-0.03321952684707235,0.04624460538570757,1.0,0.0,0.0655792695612827,continuous_heterogeneity,0.5,Continuous
10,10,0.0,0.0,0.0857914626227708,-0.029572757843146343,0.0458782992217713,1.0,0.0,0.0674694617504676,continuous_heterogeneity,1.0,Continuous
10,10,0.0,0.0,0.0857914626227708,-0.029453858932220033,0.04728797077860127,1.0,0.0,0.06775353015960224,continuous_heterogeneity,2.0,Continuous
